Step,MSE,RMSE,MAE,R²,Mean Error,Std Error
1,0.05464494,0.23376256,0.20997542,0.9754135012626648,0.20997542,0.102738805
2,0.028985586,0.17025153,0.1496682,0.9867934584617615,0.14949681,0.08146345
3,0.026869036,0.16391778,0.14485776,0.9876110553741455,0.14419724,0.07794994
4,0.031842127,0.17844363,0.1596745,0.985152006149292,0.1589416,0.081115335
5,0.035250857,0.18775211,0.16728707,0.9833647608757019,0.16715397,0.085500926
6,0.034795683,0.18653601,0.16763686,0.9833695888519287,0.16715324,0.08279779
7,0.033557378,0.18318672,0.1640725,0.9837676882743835,0.16376473,0.08208833
8,0.032904338,0.18139553,0.16235,0.9838948249816895,0.16233593,0.08094063
