Step,MSE,RMSE,MAE,R²,Mean Error,Std Error
1,0.012839722,0.1133125,0.09050029,0.9942229986190796,0.08453996,0.0754501
2,0.0052965833,0.07277763,0.056326047,0.997586727142334,0.037127838,0.06259479
3,0.0029720003,0.054516055,0.043154098,0.998629629611969,0.024925584,0.048484176
4,0.0036581801,0.06048289,0.047514763,0.9982941746711731,0.03421707,0.049873564
5,0.005032568,0.07094059,0.05453347,0.9976250529289246,0.04438138,0.05534312
6,0.008244446,0.09079893,0.0711386,0.9960595965385437,0.06598027,0.062378272
7,0.012725246,0.11280623,0.09270136,0.9938445687294006,0.08987225,0.068177894
8,0.01816398,0.13477382,0.114943065,0.9911095499992371,0.11394299,0.071979
