Step,MSE,RMSE,MAE,R²,Mean Error,Std Error
1,0.035091594,0.1873275,0.14623779,0.9826175570487976,-0.12874432,0.13607532
2,0.005392076,0.073430754,0.05979231,0.9972845911979675,0.043836765,0.05891022
3,0.0045821425,0.06769153,0.05711872,0.9976519346237183,0.0347493,0.058091555
4,0.0042845844,0.06545674,0.05279829,0.997767448425293,0.031077709,0.05760868
5,0.0033228195,0.0576439,0.04373951,0.9982378482818604,0.0072229956,0.057189576
6,0.0040881224,0.063938424,0.050209817,0.9977951049804688,-0.018620882,0.061166864
7,0.0041042133,0.06406414,0.049163494,0.9977428913116455,-0.01243515,0.06284569
8,0.0036113549,0.06009455,0.047530804,0.9979797601699829,7.9860685e-05,0.060094498
